S.No,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 P,Rank 3 W,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First4 Results,First4 Dividends
7,21:20,715,CAR PARK KEITH FFA,2,FLAKE MONELLI,D. HOBBY,1.1,1.04,1,GRACE ALI,C. HALSE,-,2.2,8,ROCKSTAR PATRIOT,P. STUART,-,-,6,WEST ON VIOLET,C. HALSE,-,-,"4,500","1,915","1,193",838,"4,062","3,753",111,-,01-Feb,2.2,02-Jan,2.9,02-01-2008,5.9,2-1-8-6,6.6
8,21:42,380,LIVING IMAGE MDN,2,HASHTAGGED,D. IRWIN,11.8,3.6,3,SIN CITY CASH,J. RIGHETTI,-,4,4,SHE'S A WOMAN,B. MCPHERSON,-,-,1,DISASTROUS,B. MACLEAN,-,-,"5,310","1,913","1,634",876,"4,633","4,930",325,-,02-Mar,91.8,02-Mar,38.9,02-03-2004,164.1,2-3-4-1,741.4
9,22:03,520,BARNEY STINSON MX 4/5,6,STAR BOOK,J. MARSH,1.8,1.3,8,PIXIE MONELLI,D. HOBBY,-,1.8,1,FANTASTIC GIGI,S. KAVANAGH,-,-,7,WESTDALE BANDIT,J. JORMANAINEN-DAVIS,-,-,"4,672","1,885","1,996",628,"5,009","4,634",193,-,06-Aug,2.7,06-Aug,5.6,06-08-2001,18.4,6-8-1-7,114.1
10,22:18,380,FREEWAY ACE NOV,7,LAKOTA GUNDI,C. BENNETT,7.7,3.4,2,SAUSILITO,J. IWANYK,-,2.1,3,COMPENSATION,M. JULIEN,-,-,8,SUDOKU OPAL,J. RIGHETTI,-,-,"4,203","1,100","1,691",811,"4,638","4,937",351,-,02-Jul,10.5,07-Feb,24.3,07-02-2003,282.8,7-2-3-8,1061.7
11,22:35,380,WATCH US ON SKY RACING FFA,6,FAB'S EXCISE,J. DAILLY,5.9,3.1,2,FREDDO MONELLI,D. HOBBY,-,2.8,7,DANICA KEEPING,S. WILLIAMS,-,-,8,JOKER POKER,S. WITHERS,-,-,"4,855","2,137","1,761","1,137","6,338","4,889",-,-,02-Jun,17,06-Feb,29,06-02-2007,145.8,6-2-7-8,593.2
0,10:15,1400,NEDS SAME RACE MULTI HANDICAP BM78 HCP,6,JUMBO OZAKI,CRAIG WILLIAMS,4,1.8,9,SIKORSKY,DAMIEN OLIVER,-,3.2,14,ARCTIC SHOCK (NZ),JESSICA EATON (A2.0),-,4.1,7,WRITE YOUR NAME,TEODORE NUGENT (A2.0),-,-,72.7K,46.1K,40.2K,11.5K,79.2K,47.2K,16.4K,-,06-Sep,17,06-Sep,31.2,06-09-2014,346.9,6-9-14-7,2767.8
1,10:50,1400,BLUE GUM FARM VOBIS GOLD DISTAFF 3UP SW+P F&M,6,CLARICE CLIFFS,JYE MCNEIL,3.5,1.6,4,SOMETHING SILVER,BEN MELHAM,-,3.3,2,PURE SCOT,CRAIG WILLIAMS,-,3.3,8,PART TIME LOVER,JAMIE KAH,-,-,67.7K,34.4K,31K,"9,259",65.7K,46.9K,"8,429",212K,04-Jun,45.1,06-Apr,61.3,06-04-2002,699.8,6-4-2-8,3557.3
2,11:25,1200,SPENDTHRIFT AUSTRALIA VOBIS GOLD SPRINT 3UP SW+P,8,VAINSTREAM,NOEL CALLOW,11.6,2.9,12,STREET ICON,THOMAS STOCKDALE (A),-,9.1,3,TELEPLAY,MICHAEL DEE,-,3.5,4,ASHLOR,DANIEL STACKHOUSE,-,-,81.1K,49K,38.2K,13.6K,88.9K,57.2K,15.5K,-,08-Dec,344.9,08-Dec,620.1,08-12-2003,7072.5,8-12-3-4,79218.9
3,12:00,2000,SUREWISE VOBIS GOLD HEATH 3UP SW+P,6,SENTIMENTALIST,DWAYNE DUNN,11.5,2.3,1,MR QUICKIE,DAMIEN OLIVER,-,1.2,7,THINK WE'RE DUE,BEN MELHAM,-,3.3,2,SOPRESSA,MARK ZAHRA,-,-,75.9K,37.8K,31.8K,11.6K,73.8K,55.7K,12.5K,-,01-Jun,10.3,06-Jan,32.4,06-01-2007,231.4,6-1-7-2,1343.7
4,12:40,1600,IRT VOBIS GOLD MILE 3UP SW+P,3,SO SI BON,MARK ZAHRA,4.2,1.8,9,STREET SHEIK,BILLY EGAN,-,4.6,1,ICONOCLASM,CRAIG WILLIAMS,-,2,6,MAMZELLE TESS,BEN THOMPSON,-,-,115K,70.6K,48.3K,13.7K,118K,70.1K,16.3K,-,03-Sep,32.8,03-Sep,51.2,03-09-2001,232.2,3-9-1-6,1344.5
