S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
3,MT,Melton,17:30,1720,FLYING BRICK CIDER IN CANS & STUBBIES MAIDEN PACE 4Y AND OLDER PACE,8,LETS GO LOHI,FRED SPITERI,8.60,2.30,2,REALLY CAMPBELL,JUSTIN CAMPBELL,-,1.04,3,ILLAWONG MIMI,JODI QUINLAN,-,1.60,6,ANDREW SWAGGER,CONNOR CLARKE,-,-,10.6K,"5,037","1,663",722,"5,756","6,037",470,-,2-8,4.90,8-2,17.10,8-2-3,45.70,8-2-3-6,112.80
2,BD,Rockhampton,17:35,510,DIGGERS MEMORIAL FFA,8,ELLIE GRACE,T. THORLEY,-,5.50,6,WALTZING DANUBE,C. EMERY,-,-,1,ROSE ALI,D. TAYLOR,-,-,4,TUTA SHERRY,D. TAYLOR,-,-,"5,116",Aban.,"1,226",464,"1,586","2,358",65,-,6-8,3.90,8-6,11.00,8-6-1,19.50,8-6-1-4,17.70
2,MDP,Ballarat,17:38,390,GAP FINAL MX 6/7 FINAL,8,CLEAN SLATE,L. DELBRIDGE,9.20,1.80,6,BLACKPOOL ASTRO,R. KENYON,-,4.20,4,MAHOGANY JET,A. KING,-,2.20,1,FORTUNA BALE,M. DELBRIDGE,-,-,"7,143","3,246","2,087",870,"5,831","5,556",169,-,6-8,115.10,8-6,132.90,8-6-4,519.20,8-6-4-1,2971.10
5,ST,Bathurst,17:40,1730,FOR A REASON PACE NR UP TO 55 PACE,8,LADY SWISS,DOUG HEWITT,6.10,1.70,2,LAVROS MIDAS TOUCH (NZ),ASHLEE GRIVES,-,1.04,6,BEAUTIFULVENGEANCE,ANTHONY WINNELL,-,3.40,1,THATS FUNNY,NATHAN TURNBULL,-,-,"3,775","2,982","1,195",794,"3,793","3,564",82,-,2-8,4.90,8-2,12.30,8-2-6,150.10,8-2-6-1,525.40
3,OD,Winnellie Park,17:42,383,SBA OFFICE NATIONAL DASH MX 4/5,3,DELERRA,G. SCOTT,1.40,1.10,2,CHOICE WAY,S. BOLTON,-,1.80,4,UNO SLIPPER,A. LASKER,-,-,7,WEEONA WENDY,R. SAVIGE,-,-,"2,416",964,495,274,"1,566","1,393",17,-,2-3,4.40,3-2,6.30,3-2-4,12.80,3-2-4-7,32.20
2,SD,Richmond,17:45,330,GREYHOUND PRODUCTS DIRECT MAIDEN HEAT 3 MDN HT,3,COLE SEAR,K. SULTANA,2.80,1.50,2,BUGATTI MOTION,J. DAVIS,-,2.60,6,QUIRKY PHOEBE,R. BREWER,-,2.50,7,GREAT FIGHTER,J. KING,-,-,"5,015","1,952","1,431",836,"3,858","3,132",48,-,2-3,17.70,3-2,22.30,3-2-6,173.70,3-2-6-7,613.50
3,MD,Cranbourne,17:48,311,TAB MULTIPLIER (1-4 WINS) R/W,4,PIPARAE,J. IMLACH,8.60,2.70,2,BAGGY'S GOLD,D. SAUNDERS,-,2.40,1,MAJESTIC WAY,W. KEE,-,-,3,BABY EDEN,W. KEE,-,-,"4,680","1,353","1,864",840,"4,445","3,910",181,-,2-4,15.00,4-2,31.00,4-2-1,56.10,4-2-1-3,149.80
4,BT,Redcliffe,17:50,1780,DES POLLOCK PACE NR 40 TO 49 PACE,4,WHATELEY,TALEAH MCMULLEN,4.10,1.30,5,A ROCKNROLL LEGACY,ANGUS GARRARD,-,1.70,6,GO ANNE GO,KELLI DAWSON,-,1.30,2,MANOFLISA,NOEL PARRISH,-,-,"4,790","2,351",904,623,"3,351","4,337",71,"4,189",4-5,12.20,4-5,18.40,4-5-6,57.50,4-5-6-2,618.80
3,BD,Rockhampton,17:55,407,WE REMEMBER THEM GR4,4,DUE TO SIZZLE,D. BECKETT,7.30,2.20,2,ABSOLUTE MADNESS,R. WEEDING,-,2.30,5,PERFECT PARIS,K. BOODY,-,8.40,3,ARE JAY LOCHIE,D. TAYLOR,-,-,"5,937","2,242","1,410",836,"5,041","6,050",80,-,2-4,22.10,4-2,47.80,4-2-5,714.00,4-2-5-3,3329.80
3,MDP,Ballarat,17:58,450,BACKMANS PET FOODS MX 6/7,5,PROVIDENCE BALE,A. DAILLY,2.40,1.04,2,CHARLIE BALE,A. DAILLY,-,1.20,1,REGAL MISSILE,P. RADSTOCK,-,6.10,7,BRAITH BALE,A. DAILLY,-,-,"6,082","2,514","1,445",636,"4,723","3,995",98,-,2-5,6.00,5-2,11.50,5-2-1,95.70,5-2-1-7,347.30
